model,fold,n_val,acc,fit_seconds,infer_seconds,peak_rss_kb
logistic_regression,0,1740,0.7902298850574713,0.007790499992552213,0.00018875001114793122,32.0
random_forest,0,1740,0.7896551724137931,0.9882944999990286,0.08605925001029391,6928.0
xgboost,0,1740,0.8143678160919541,0.5218050419935025,0.01260470799752511,4032.0
catboost,0,1740,0.8189655172413793,3.835215083992807,0.00276658299844712,61008.0
logistic_regression,1,1738,0.7980437284234753,0.006436999989091419,0.00026216599508188665,32.0
random_forest,1,1738,0.7940161104718066,1.0591959590092301,0.09502337498997804,1824.0
xgboost,1,1738,0.8112773302646721,0.5652905419992749,0.012792249995982274,288.0
catboost,1,1738,0.8245109321058688,3.916394042011234,0.003022374992724508,10304.0
logistic_regression,2,1740,0.7994252873563218,0.006467875005910173,0.0002489589969627559,32.0
random_forest,2,1740,0.7936781609195402,1.1076215840002988,0.08974733299692161,32.0
xgboost,2,1740,0.7902298850574713,0.5852678750088671,0.014377083003637381,32.0
catboost,2,1740,0.8051724137931034,3.9645158749917755,0.0025057500024558976,3008.0
logistic_regression,3,1737,0.7823834196891192,0.00634445900504943,0.00022945800446905196,32.0
random_forest,3,1737,0.791594703511802,1.1483577500039246,0.09685316699324176,928.0
xgboost,3,1737,0.7829591249280369,0.6063786250015255,0.01289520799764432,64.0
catboost,3,1737,0.796776050662061,3.9955710420035757,0.0024642910138936713,3536.0
logistic_regression,4,1738,0.7894131185270425,0.006440041004680097,0.0002444580022711307,32.0
random_forest,4,1738,0.7899884925201381,1.240110790997278,0.10107737498765346,1520.0
xgboost,4,1738,0.7968929804372842,0.6212502499984112,0.014627041993662715,48.0
catboost,4,1738,0.8153049482163406,4.191512708013761,0.002779583999654278,4960.0
