model,fold,acc
logistic_regression,0,0.8033352501437608
random_forest,0,0.7993099482461185
xgboost,0,0.8079355951696378
catboost,0,0.824036802760207
logistic_regression,1,0.7757331799884991
random_forest,1,0.7763082231167338
xgboost,1,0.8004600345025877
catboost,1,0.8085106382978723
logistic_regression,2,0.7929844738355377
random_forest,2,0.8039102932719954
xgboost,2,0.8108108108108109
catboost,2,0.8125359401955147
logistic_regression,3,0.7974683544303798
random_forest,3,0.7922899884925202
xgboost,3,0.8107019562715765
catboost,3,0.8193325661680092
logistic_regression,4,0.785385500575374
random_forest,4,0.785385500575374
xgboost,4,0.784234752589183
catboost,4,0.7991944764096662
