model_a,model_b,n,a_right_b_wrong,a_wrong_b_right,chi2_continuity,p_value,a_acc,b_acc
logistic_regression,random_forest,8693,241,240,0.0,1.0,0.7919015299666399,0.7917864948809387
logistic_regression,xgboost,8693,598,661,3.0532168387609215,0.08053622051505732,0.7919015299666399,0.7991487403658116
logistic_regression,catboost,8693,372,548,33.28804347826087,7.179217281002306e-09,0.7919015299666399,0.8121477050500403
random_forest,logistic_regression,8693,240,241,0.0,1.0,0.7917864948809387,0.7919015299666399
random_forest,xgboost,8693,587,651,3.2059773828756057,0.07332694359794703,0.7917864948809387,0.7991487403658116
random_forest,catboost,8693,346,523,35.64556962025316,2.0916244962094573e-09,0.7917864948809387,0.8121477050500403
xgboost,logistic_regression,8693,661,598,3.0532168387609215,0.08053622051505732,0.7991487403658116,0.7919015299666399
xgboost,random_forest,8693,651,587,3.2059773828756057,0.07332694359794703,0.7991487403658116,0.7917864948809387
xgboost,catboost,8693,288,401,18.206095791001452,1.904302685686216e-05,0.7991487403658116,0.8121477050500403
catboost,logistic_regression,8693,548,372,33.28804347826087,7.179217281002306e-09,0.8121477050500403,0.7919015299666399
catboost,random_forest,8693,523,346,35.64556962025316,2.0916244962094573e-09,0.8121477050500403,0.7917864948809387
catboost,xgboost,8693,401,288,18.206095791001452,1.904302685686216e-05,0.8121477050500403,0.7991487403658116
