row_index,fold,y_true,proba,pred
0,2,0,0.8536213023437377,1
1,1,1,0.1599081231938862,0
2,3,0,0.14553554455659978,0
3,3,0,0.1762180086887978,0
4,2,1,0.15802709634382717,0
5,2,1,0.11599467050967123,0
6,4,1,0.6277608418682971,1
7,1,1,0.7283542704487488,1
8,3,1,0.27271079414478955,0
9,2,1,0.955742429336937,1
10,2,1,0.938798721527758,1
11,2,1,0.6964517602629834,1
12,1,1,0.38449974048809193,0
13,3,0,0.12598462290643522,0
14,0,1,0.5663888155347918,1
15,1,0,0.6697967636371968,1
16,0,0,0.160098569738583,0
17,3,0,0.13276674014421047,0
18,4,1,0.7895646988386918,1
19,2,1,0.4121536656678671,0
20,2,0,0.12320211428024161,0
21,4,0,0.8038650723266789,1
22,4,0,0.8076901295832016,1
23,4,0,0.8223641971822772,1
24,4,1,0.6003314601127977,1
25,4,0,0.758372123811257,1
26,4,0,0.611954447131077,1
27,0,0,0.1762377392612819,0
28,3,1,0.9677478225894578,1
29,2,0,0.12028541129726338,0
30,3,0,0.4549345250252876,0
31,0,0,0.13537003424083313,0
32,4,0,0.08193407024878019,0
33,2,1,0.1655771220476264,0
34,2,1,0.6571012713187552,1
35,2,1,0.1321852998286039,0
36,2,1,0.9643196584763553,1
37,3,0,0.14398337561861804,0
38,1,0,0.2490672618289568,0
39,2,0,0.09219156687808461,0
40,3,0,0.6505315609713154,1
41,2,1,0.6303855161102141,1
42,2,0,0.20653547248639437,0
43,0,0,0.5786124490377159,1
44,0,1,0.676728647782503,1
45,0,1,0.5776942723583172,1
46,0,0,0.1609500435439891,0
47,0,1,0.8190809002938562,1
48,0,0,0.15314731030885348,0
49,1,0,0.063710578292661,0
50,4,0,0.03340969822732089,0
51,3,1,0.919447554212147,1
52,4,1,0.854228810321439,1
53,4,1,0.9293789430007227,1
54,4,1,0.49958857841001353,0
55,0,0,0.6879414886021521,1
56,3,0,0.12392474491611183,0
57,0,0,0.4783587329028183,0
58,4,1,0.8829025004862633,1
59,0,1,0.7636384073993334,1
60,1,0,0.09935527206347765,0
61,4,1,0.6983345908853188,1
62,4,1,0.8404510914052923,1
63,4,0,0.16638194544867163,0
64,2,0,0.13566439458720786,0
65,1,1,0.1690895506992624,0
66,1,0,0.11113811189519492,0
67,1,0,0.3967073550075937,0
68,4,0,0.13962887783878486,0
69,0,0,0.5026416143981707,1
70,1,1,0.7417163662760883,1
71,2,1,0.5523560680653329,1
72,2,1,0.7439165162000921,1
73,4,0,0.2948983712918865,0
74,2,0,0.7485201280950462,1
75,0,0,0.07148924207099758,0
76,0,1,0.8272432741550257,1
77,0,1,0.647489341909973,1
78,1,1,0.10623841560070982,0
79,0,1,0.9724727408575532,1
80,3,0,0.07335291602378351,0
81,3,1,0.7628662231094283,1
82,2,1,0.7179531160478667,1
83,2,1,0.7335155782410175,1
84,2,0,0.31184561899383884,0
85,1,0,0.34581704607474517,0
86,1,1,0.6471134483012981,1
87,1,1,0.6471134483012981,1
88,3,0,0.39918121849036975,0
89,3,0,0.3117623578507873,0
90,3,1,0.2822351379444325,0
91,4,0,0.15306975293866246,0
92,1,1,0.4327400760975615,0
93,4,1,0.8820070571228297,1
94,3,0,0.12176816226896155,0
95,3,1,0.462571996923475,0
96,0,1,0.7810947811627404,1
97,0,0,0.7559804094895639,1
98,2,0,0.2857510014617243,0
99,0,0,0.2176112366357301,0
100,3,0,0.7409624602312828,1
101,3,0,0.14783063667942295,0
102,3,1,0.5487112460656164,1
103,4,0,0.19062585214174135,0
104,3,0,0.3214147869599338,0
105,3,1,0.2616539760277331,0
106,3,1,0.9435362995602018,1
107,0,1,0.9249111808117497,1
108,1,1,0.9227432687861016,1
109,3,1,0.885526676341194,1
110,2,0,0.16234178135859162,0
111,2,1,0.6210479969775425,1
112,0,1,0.4311906370988582,0
113,3,0,0.03484455912097806,0
114,3,1,0.8985616186695389,1
115,1,1,0.8143556247486836,1
116,0,0,0.07803391340353905,0
117,2,0,0.422459055600695,0
118,0,1,0.8535855641720382,1
119,0,0,0.22328581865767377,0
120,1,0,0.16125930398206237,0
121,1,0,0.1091463206526672,0
122,1,1,0.6873941679967027,1
123,4,1,0.8829025004862633,1
124,4,0,0.18263496812063143,0
125,3,1,0.8315858664374708,1
126,0,0,0.19370924746155774,0
127,1,1,0.6376543010677471,1
128,3,0,0.05223612802235729,0
129,0,1,0.9772913193202768,1
130,2,1,0.6119862276289222,1
131,4,0,0.11089790493317006,0
132,4,0,0.8764672978723123,1
133,0,1,0.9231787381202421,1
134,2,0,0.4528367106257854,0
135,0,1,0.7006425080860013,1
136,3,0,0.14931787901660623,0
137,4,1,0.7734775277969778,1
138,4,0,0.6519281853779727,1
139,4,0,0.10393173208702045,0
140,0,0,0.03534328997054417,0
141,4,1,0.9467286834602903,1
142,4,1,0.9491314883409662,1
143,3,1,0.27031690402308434,0
144,3,0,0.7148795961060336,1
145,1,1,0.8080496615483691,1
146,4,1,0.8829025004862633,1
147,4,0,0.18868155622725852,0
148,1,0,0.6184189083017402,1
149,3,0,0.08818635094772438,0
150,4,1,0.6879797105670473,1
151,2,1,0.5932619933564296,1
152,2,1,0.7209074706238521,1
153,1,0,0.1371490218131708,0
154,3,0,0.17616786092654796,0
155,0,0,0.16647638783826094,0
156,4,1,0.45758380127455134,0
157,4,0,0.4011445218395627,0
158,4,1,0.4011445218395627,0
159,4,0,0.055183473088719015,0
160,2,1,0.9566764917615778,1
161,0,1,0.3199666473593733,0
162,3,0,0.06464389115451949,0
163,3,1,0.6974011640180912,1
164,1,0,0.13204973970982695,0
165,2,0,0.7818295206565694,1
166,1,1,0.6471134483012981,1
167,1,0,0.4327400760975615,0
168,1,0,0.05068412796224414,0
169,2,1,0.8344563387265986,1
170,2,0,0.1013678723224122,0
171,2,1,0.6571012713187552,1
172,4,1,0.2587130196188888,0
173,4,0,0.15459230390508866,0
174,3,0,0.37773644396534495,0
175,4,1,0.2867961868656323,0
176,4,0,0.742220994324427,1
177,1,1,0.6376543010677471,1
178,3,1,0.9633502627524161,1
179,3,1,0.960721330077667,1
180,3,1,0.9447687043142776,1
181,0,1,0.18818079091071324,0
182,4,1,0.9715445455780435,1
183,2,0,0.12202070621364886,0
184,3,1,0.585153490388001,1
185,1,0,0.5907033039872895,1
186,4,1,0.8144348693829647,1
187,1,1,0.1823134051840923,0
188,1,1,0.8205004433209735,1
189,1,0,0.14677941898034957,0
190,4,0,0.06259542944060043,0
191,0,0,0.12408445656229442,0
192,1,0,0.14200233506599963,0
193,2,0,0.14628550447064875,0
194,1,0,0.0828772966635845,0
195,1,1,0.6376543010677471,1
196,2,1,0.6484135653280242,1
197,2,1,0.4121536656678671,0
198,2,0,0.6303855161102141,1
199,0,0,0.17623193881993293,0
200,1,0,0.0896863574765681,0
201,2,0,0.4577399330927954,0
202,2,1,0.6303855161102141,1
203,0,0,0.15802333000102267,0
204,0,0,0.15931436110152747,0
205,0,0,0.14955074026243473,0
206,0,1,0.8366238952839061,1
207,0,0,0.12431113804708077,0
208,0,0,0.15097251494812547,0
209,0,0,0.8207087365112588,1
210,3,0,0.19594032772979775,0
211,3,1,0.8793089171910632,1
212,3,1,0.830371833516934,1
213,0,0,0.6301448034189477,1
214,3,0,0.14197373986999354,0
215,4,1,0.5110227329134289,1
216,3,0,0.13326129894417071,0
217,1,0,0.1317893683779515,0
218,0,0,0.6998522971800551,1
219,1,0,0.17056288971309544,0
220,1,0,0.8848639679222917,1
221,2,1,0.9341483596614684,1
222,4,0,0.1989779249180217,0
223,2,1,0.7994626292223866,1
224,1,0,0.08373215212926499,0
225,2,0,0.21167343947277395,0
226,4,0,0.7327961397841766,1
227,0,1,0.8770844315411365,1
228,0,1,0.8988673949207937,1
229,4,1,0.9643737029943225,1
230,4,0,0.1849137514423336,0
231,1,0,0.12232080532146807,0
232,0,0,0.2597646824306604,0
233,3,0,0.6688920980382501,1
234,4,1,0.9271549577468688,1
235,4,0,0.22608650206901368,0
236,4,0,0.1217943944696646,0
237,4,1,0.14360386487970941,0
238,0,1,0.9226678777524617,1
239,3,0,0.23503259175712946,0
240,3,1,0.8452563226897668,1
241,0,0,0.19584855529313874,0
242,3,0,0.16696558919883947,0
243,4,0,0.1072990386723444,0
244,0,1,0.6190043968555514,1
245,1,1,0.9528379326573676,1
246,4,0,0.1321729733481259,0
247,1,1,0.9480129954839267,1
248,3,0,0.08286860365368354,0
249,1,1,0.9612065659768471,1
250,4,1,0.37639885417521596,0
251,2,0,0.13410868217015148,0
252,3,0,0.07814104318965402,0
253,2,1,0.9174928696342918,1
254,2,1,0.9310824487532895,1
255,1,1,0.5807118088699474,1
256,2,1,0.27527472160836897,0
257,0,1,0.8843033238699792,1
258,0,1,0.8815169520432172,1
259,1,0,0.2770386157234099,0
260,1,1,0.9543168006567866,1
261,1,0,0.3554137555979289,0
262,0,0,0.17518199138955082,0
263,2,1,0.9804581354527145,1
264,2,1,0.504515495032381,1
265,2,1,0.9690427441105492,1
266,2,1,0.9039541176198169,1
267,2,1,0.939368071226354,1
268,3,1,0.40880738301395986,0
269,3,1,0.9579120594428856,1
270,2,1,0.21411740116310057,0
271,2,1,0.8982449478095623,1
272,1,0,0.8473612189122849,1
273,2,0,0.09235986235979449,0
274,0,1,0.7347005650102398,1
275,2,0,0.12882046626858307,0
276,2,0,0.36966530782372564,0
277,0,0,0.18663102310651425,0
278,4,1,0.9488353768104749,1
279,3,0,0.16795343752902583,0
280,3,0,0.16572892143182102,0
281,2,1,0.5361279594255173,1
282,4,1,0.6628932487755309,1
283,2,1,0.11661068254344617,0
284,4,1,0.4547487258546598,0
285,2,0,0.0657513023414454,0
286,3,1,0.6846417661307216,1
287,2,1,0.7495015117087745,1
288,2,1,0.9666087273319366,1
289,3,0,0.6349511628762613,1
290,3,0,0.7091984355283666,1
291,3,0,0.182876396697755,0
292,0,0,0.7114991402435105,1
293,3,0,0.6339890703602227,1
294,4,0,0.7327961397841766,1
295,2,1,0.739660998039497,1
296,3,1,0.9444807829404306,1
297,3,1,0.7571145135562908,1
298,3,0,0.5190554124629655,1
299,3,0,0.1314241649099128,0
300,2,1,0.8384534953847298,1
301,1,0,0.09845335901149788,0
302,0,0,0.12581314758151604,0
303,3,1,0.9086538194981395,1
304,3,1,0.2249429350460948,0
305,3,1,0.785461058754804,1
306,0,1,0.7454869316887849,1
307,1,1,0.9674866907463197,1
308,2,0,0.595341310659067,1
309,1,0,0.06350976783831025,0
310,0,0,0.828813017897934,1
311,2,1,0.6724959868277571,1
312,1,0,0.3964252611678584,0
313,0,1,0.44307101351419587,0
314,2,1,0.4154270479263772,0
315,2,1,0.5763698603885844,1
316,4,0,0.15263513468250695,0
317,0,1,0.849264443680074,1
318,3,1,0.9484080131960324,1
319,2,0,0.16910571852599374,0
320,3,1,0.6974011640180912,1
321,3,1,0.6846417661307216,1
322,1,0,0.30360320384819284,0
323,4,0,0.24664667780849098,0
324,3,1,0.1595922176720846,0
325,3,0,0.09487089773951225,0
326,3,0,0.12308947497058302,0
327,3,1,0.7636666198751039,1
328,3,1,0.16315470464193654,0
329,3,0,0.06276901162934122,0
330,1,1,0.8143556247486836,1
331,1,0,0.04744405463078019,0
332,2,0,0.5742627713702871,1
333,0,0,0.15110240032137573,0
334,4,1,0.2860681882075098,0
335,4,0,0.32918822985927043,0
336,0,0,0.31363769024556243,0
337,0,1,0.973102900242837,1
338,0,0,0.25905884826884945,0
339,0,1,0.9636990823832027,1
340,0,1,0.9707804461308699,1
341,0,0,0.40596032087476663,0
342,0,1,0.9674252001980769,1
343,1,1,0.12946285899483742,0
344,0,1,0.95673844569209,1
345,1,1,0.9531641561653228,1
346,1,1,0.9493473624748435,1
347,3,0,0.07159861921828523,0
348,4,0,0.04047929221487477,0
349,4,0,0.6667036648655165,1
350,4,1,0.5915402669061746,1
351,4,1,0.4631611200708937,0
352,0,0,0.1637884512815159,0
353,1,0,0.6086557537994106,1
354,1,0,0.7364243811072826,1
355,1,0,0.13183011243554688,0
356,2,1,0.500756750749172,1
357,0,0,0.042341054969625085,0
358,0,0,0.16646766542190183,0
359,0,0,0.2247957396370364,0
360,0,1,0.7454869316887849,1
361,0,1,0.8670550857896249,1
362,3,0,0.09662180021232446,0
363,1,0,0.24196858008610445,0
364,1,0,0.18753848682161062,0
365,4,1,0.8789195269302229,1
366,0,1,0.2763875859344068,0
367,4,0,0.1308197799743819,0
368,0,0,0.042292428745362834,0
369,0,0,0.17129475720591972,0
370,0,0,0.6056928918400831,1
371,2,0,0.11073686638109359,0
372,2,0,0.9188315341415039,1
373,0,0,0.16306764156910963,0
374,0,0,0.10142407215500787,0
375,4,1,0.44646675332796537,0
376,3,0,0.11408615428335493,0
377,1,0,0.7117572559470373,1
378,1,1,0.9430664066553276,1
379,1,0,0.17206587260889625,0
380,1,1,0.9361669418535218,1
