row_index,fold,y_true,proba,pred
0,2,0,0.8066826212456649,1
1,1,1,0.17240541869038403,0
2,3,0,0.12891616254442828,0
3,3,0,0.14253517103317423,0
4,2,1,0.17880731746267117,0
5,2,1,0.2720290031973955,0
6,4,1,0.5574689962130381,1
7,1,1,0.6169331121016948,1
8,3,1,0.3980053534653117,0
9,2,1,0.9796317834685766,1
10,2,1,0.9655280129662634,1
11,2,1,0.6767305264585671,1
12,1,1,0.5784971571889375,1
13,3,0,0.2009183021769243,0
14,0,1,0.48427598037457914,0
15,1,0,0.5656075740640497,1
16,0,0,0.1484134413142346,0
17,3,0,0.2172558671488878,0
18,4,1,0.944047080236262,1
19,2,1,0.5410557869315099,1
20,2,0,0.1656868856275253,0
21,4,0,0.757849148692713,1
22,4,0,0.7836958853455135,1
23,4,0,0.7823489176881423,1
24,4,1,0.6733375424775023,1
25,4,0,0.7578491964509155,1
26,4,0,0.6938315956684256,1
27,0,0,0.15086277089604522,0
28,3,1,0.9754765217048071,1
29,2,0,0.17411087101497316,0
30,3,0,0.3482837102757445,0
31,0,0,0.1465341460382068,0
32,4,0,0.1919386601806118,0
33,2,1,0.2479316880005283,0
34,2,1,0.8821241814257703,1
35,2,1,0.23843317081014734,0
36,2,1,0.9697211377156885,1
37,3,0,0.12888752847052018,0
38,1,0,0.23323172329053843,0
39,2,0,0.09764024313809075,0
40,3,0,0.6450595300329993,1
41,2,1,0.5793166342627969,1
42,2,0,0.12703295305772067,0
43,0,0,0.5740022553500524,1
44,0,1,0.6045290572462709,1
45,0,1,0.5985196359711739,1
46,0,0,0.1474503874524134,0
47,0,1,0.9460139507380698,1
48,0,0,0.1981483551159542,0
49,1,0,0.14792879844378232,0
50,4,0,0.10150289774794663,0
51,3,1,0.6948218187098228,1
52,4,1,0.8570948588804294,1
53,4,1,0.9267973843695861,1
54,4,1,0.45033834438097614,0
55,0,0,0.6390393290861103,1
56,3,0,0.14251579305956294,0
57,0,0,0.5091490240667269,1
58,4,1,0.9436266415600335,1
59,0,1,0.6705753651175111,1
60,1,0,0.21426185545367463,0
61,4,1,0.6128251734671442,1
62,4,1,0.5157763721620215,1
63,4,0,0.1569024988781564,0
64,2,0,0.16183582114637335,0
65,1,1,0.1741494599755793,0
66,1,0,0.19122852321462097,0
67,1,0,0.6451845733404695,1
68,4,0,0.21795489781300323,0
69,0,0,0.5649680801052951,1
70,1,1,0.63370403600574,1
71,2,1,0.5705900978313707,1
72,2,1,0.6435762720959444,1
73,4,0,0.33215244600714333,0
74,2,0,0.6237034733199537,1
75,0,0,0.12525865852090026,0
76,0,1,0.9497443763148156,1
77,0,1,0.8973143649294373,1
78,1,1,0.1783135835383286,0
79,0,1,0.9804529542768479,1
80,3,0,0.14777303129173014,0
81,3,1,0.6739024245226648,1
82,2,1,0.6253954295839433,1
83,2,1,0.62429158723433,1
84,2,0,0.4535032616639035,0
85,1,0,0.5555614780261001,1
86,1,1,0.590438133124713,1
87,1,1,0.590438133124713,1
88,3,0,0.4256170920958763,0
89,3,0,0.47024814584403707,0
90,3,1,0.6416330153555647,1
91,4,0,0.3175336709712366,0
92,1,1,0.559974080871872,1
93,4,1,0.935073694021317,1
94,3,0,0.1628110783385569,0
95,3,1,0.5285579608206119,1
96,0,1,0.6457722139566185,1
97,0,0,0.6297636997875856,1
98,2,0,0.43302719155274205,0
99,0,0,0.13350796009645668,0
100,3,0,0.6375415934686793,1
101,3,0,0.20838100645455343,0
102,3,1,0.5920406717354043,1
103,4,0,0.10758604036915782,0
104,3,0,0.34563695115143545,0
105,3,1,0.15721646140142473,0
106,3,1,0.960198026456825,1
