CryoSleep,Cabin_Region,Age_Group,ShoppingMall,Spend_per_Age,Max_Spa_by_Destination,LuxurySpend,Deck,Mean_Age_by_Deck,RoomService,Spa,HomePlanet,TotalSpend,Max_Spa_by_Deck,Mean_Spend_by_HomePlanet,Mean_Spend_by_Deck,Side,Topology_Cluster
0.0,0.0,3.0,0.0,20.743589743589745,18572.0,68.0,6.0,24.07696376619942,55.0,0.0,0.0,809.0,5577.0,702.7964490423599,377.89394340121663,0.0,0.0
0.0,1.0,1.0,0.0,0.0,18572.0,0.0,6.0,24.07696376619942,0.0,0.0,0.0,0.0,5577.0,702.7964490423599,377.89394340121663,0.0,0.0
0.0,1.0,1.0,267.0,76.41176470588235,18572.0,1032.0,4.0,30.218442932728646,1032.0,0.0,2.0,1299.0,15586.0,1054.5402384500744,1347.9055177626606,1.0,1.0
1.0,0.0,3.0,0.0,0.0,22408.0,0.0,2.0,34.472776769509984,0.0,0.0,1.0,0.0,22408.0,3425.2754548356206,4009.0916515426497,1.0,1.0
0.0,4.0,1.0,0.0,17.68421052631579,13902.0,336.0,6.0,24.07696376619942,0.0,1.0,0.0,336.0,5577.0,702.7964490423599,377.89394340121663,1.0,1.0
0.0,0.0,2.0,0.0,284.46153846153845,13902.0,327.0,0.0,35.240112994350284,0.0,45.0,1.0,7396.0,11001.0,3425.2754548356206,3367.04802259887,1.0,1.0
0.0,0.0,4.0,27.0,17.954545454545453,18572.0,760.0,4.0,30.218442932728646,602.0,89.0,0.0,790.0,15586.0,702.7964490423599,1347.9055177626606,1.0,1.0
0.0,3.0,2.0,0.0,0.0,18572.0,0.0,6.0,24.07696376619942,0.0,0.0,0.0,0.0,5577.0,702.7964490423599,377.89394340121663,1.0,1.0
1.0,0.0,3.0,0.0,0.0,22408.0,0.0,3.0,33.37777777777778,0.0,0.0,1.0,0.0,13995.0,3425.2754548356206,2327.0472222222224,1.0,1.0
1.0,2.0,3.0,0.0,0.0,18572.0,0.0,5.0,28.379682679594534,0.0,0.0,2.0,0.0,13036.0,1054.5402384500744,1022.0041868664609,0.0,0.0
0.0,3.0,4.0,7.0,14.84,18572.0,735.0,5.0,28.379682679594534,552.0,0.0,2.0,742.0,13036.0,1054.5402384500744,1022.0041868664609,0.0,0.0
0.0,3.0,3.0,0.0,20.615384615384617,18572.0,766.0,5.0,28.379682679594534,766.0,0.0,0.0,804.0,13036.0,702.7964490423599,1022.0041868664609,0.0,0.0
1.0,-1.0,1.0,0.0,0.0,18572.0,0.0,5.0,28.379682679594534,0.0,0.0,0.0,0.0,13036.0,702.7964490423599,1022.0041868664609,1.0,1.0
1.0,4.0,0.0,0.0,0.0,22408.0,0.0,6.0,24.07696376619942,0.0,0.0,0.0,0.0,5577.0,702.7964490423599,377.89394340121663,1.0,1.0
0.0,2.0,3.0,1.0,25.942857142857143,22408.0,450.0,6.0,24.07696376619942,232.0,218.0,0.0,908.0,5577.0,702.7964490423599,377.89394340121663,1.0,1.0
0.0,4.0,1.0,18.0,50.111111111111114,18572.0,318.0,5.0,28.379682679594534,0.0,318.0,0.0,902.0,13036.0,702.7964490423599,1022.0041868664609,0.0,0.0
0.0,4.0,2.0,93.0,23.0,18572.0,548.0,5.0,28.379682679594534,2.0,6.0,0.0,644.0,13036.0,702.7964490423599,1022.0041868664609,1.0,1.0
