feature,mean_abs_shap
LuxurySpend,1.7493676552817856
CryoSleep,0.39661146674844944
HomePlanet,0.322191603556156
TotalSpend,0.2997225283972108
Cabin_Region,0.29241816125745856
Max_Spa_by_Destination,0.20832281575006642
Side,0.2037446138959047
Topology_Cluster,0.20191713271583153
Mean_Spend_by_Deck,0.18513246830145255
Deck,0.18376350129693708
Max_Spa_by_Deck,0.16650571479573617
Mean_Spend_by_HomePlanet,0.15264890387472857
Spa,0.15041158213168004
ShoppingMall,0.13581325303680034
Age_Group,0.13227696240727901
Spend_per_Age,0.12385246896634476
RoomService,0.0956122969008955
Mean_Age_by_Deck,0.08169023418296878
